[2025-01-16T03:24:25.464+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/junior-digital-marketing-cum-product-owner/1585302.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.465+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-logistics/1585334.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.466+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-xay-dung-cad-phong-van-1-vong-nhan-viec-sau-tet-tai-ha-noi-thu-nhap-hap-dan/1532778.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.468+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/chuyen-vien-cao-cap-quan-he-khach-hang-doanh-nghiep/1436467.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.469+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/truong-phong-dieu-duong/1564193.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.470+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-phu-bep-commis-tai-thiso-sala-thu-duc/1504196.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.471+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-tu-van-telesales-cham-soc-khach-hang-khong-yeu-cau-kinh-nghiem-luong-cung-8-trieu/1422793.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.472+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-tu-van-tai-chinh-thu-nhap-tu-16-30-trieu-thang/1585087.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.473+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/nhan-vien-sale-tour-va-combo-du-lich-1-nam-kinh-nghiem-thu-nhap-15-trieu/1584602.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
[2025-01-16T03:24:25.474+0000] {logging_mixin.py:190} INFO - https://www.topcv.vn/viec-lam/quan-doc-xuong-tieng-anh-giao-tiep-tot-di-lam-ngay-sau-tet-tai-quan-7-thu-nhap-hap-dan/1585399.html?ta_source=JobSearchList_LinkDetail&u_sr_id=H0QuBjlB7FUmIfMEUnClcBwU0f7jlU0efth0Sr69_1736997862
